Season	Player	Team	GP	TOI	Shots Against	Saves	Goals Against	SV%	GAA	GSAA	xG Against	HD Shots Against	HD Saves	HD Goals Against	HDSV%	HDGAA	HDGSAA	MD Shots Against	MD Saves	MD Goals Against	MDSV%	MDGAA	MDGSAA	LD Shots Against	LD Saves	LD Goals Against	LDSV%	LDGAA	LDGSAA	Rush Attempts Against	Rebound Attempts Against	Avg. Shot Distance	Avg. Goal Distance
20092010	Chris Mason	STL	61	2592.9833333333	1227	1128	99	0.919	2.29	-0.65	102.89	320	261	59	0.816	1.37	-3.32	351	329	22	0.937	0.51	5.38	519	501	18	0.965	0.42	-3.22	60	109	32.62	20.65
20092010	Antero Niittymaki	T.B	49	1939.4	971	892	79	0.919	2.44	-1.17	74.08	269	216	53	0.803	1.64	-6.19	281	260	21	0.925	0.65	0.92	386	382	4	0.99	0.12	6.99	53	84	35.77	21.84
20092010	Dan Ellis	NSH	31	1370.05	667	612	55	0.918	2.41	-1.54	53.12	188	151	37	0.803	1.62	-4.29	157	146	11	0.93	0.48	1.25	309	302	7	0.977	0.31	1.8	33	54	33.81	20.13
20092010	Jonathan Quick	L.A	72	3240.3833333333	1431	1314	117	0.918	2.17	-2.3	111.84	362	301	61	0.831	1.13	1.99	358	325	33	0.908	0.61	-5.07	670	647	23	0.966	0.43	-3.93	72	137	35.08	21.63
20092010	Erik Ersberg	L.A	11	396.86666666667	159	146	13	0.918	1.97	-0.26	12.28	29	25	4	0.862	0.6	1.05	49	43	6	0.878	0.91	-2.18	72	69	3	0.958	0.45	-0.95	15	13	39.21	29.69
20092010	Manny Legace	CAR	28	1136.7333333333	567	520	47	0.917	2.48	-1.55	49.31	155	129	26	0.832	1.37	0.97	135	122	13	0.904	0.69	-2.47	256	248	8	0.969	0.42	-0.71	38	67	35.08	20.96
20092010	Jhonas Enroth	BUF	1	40.483333333333	24	22	2	0.917	2.96	-0.08	1.4	4	3	1	0.75	1.48	-0.3	5	4	1	0.8	1.48	-0.61	13	13	0	1	0	0.37	0	1	42.88	23
20092010	Antti Niemi	CHI	39	1709.2	695	637	58	0.917	2.04	-2.29	54.86	207	170	37	0.821	1.3	-0.98	170	159	11	0.935	0.39	2.26	298	288	10	0.966	0.35	-1.52	30	70	33.14	20.5
20092010	Jean-Sebastien Giguere	ANA, TOR	35	1511.1833333333	756	692	64	0.915	2.54	-3.4	62.6	213	180	33	0.845	1.31	4.06	198	183	15	0.924	0.6	0.44	335	319	16	0.952	0.64	-6.46	44	61	33.41	25.17
20092010	Martin Biron	NYI	29	1202.2166666667	626	572	54	0.914	2.7	-3.82	50.37	182	151	31	0.83	1.55	0.67	174	163	11	0.937	0.55	2.57	249	237	12	0.952	0.6	-4.91	49	61	36.6	24.7
20092010	Niklas Backstrom	MIN	60	2641.4166666667	1263	1155	108	0.914	2.45	-6.76	85.24	281	225	56	0.801	1.27	-7.1	316	286	30	0.905	0.68	-5.35	635	614	21	0.967	0.48	-2.92	75	103	37.21	24.4
20092010	Jonas Gustavsson	TOR	42	1818.85	875	800	75	0.914	2.47	-4.86	66.61	252	209	43	0.829	1.42	0.85	205	185	20	0.902	0.66	-4.01	391	379	12	0.969	0.4	-0.87	52	52	35.31	23.88
20092010	Tim Thomas	BOS	43	1920.65	918	838	80	0.913	2.5	-6.42	63.69	231	181	50	0.784	1.56	-9.8	228	211	17	0.925	0.53	0.78	422	410	12	0.972	0.37	0.01	58	75	37.78	25.38
20092010	Dwayne Roloson	NYI	50	2187	1162	1061	101	0.913	2.77	-7.86	96.88	350	292	58	0.834	1.59	2.9	335	309	26	0.922	0.71	0.13	443	430	13	0.971	0.36	-0.39	56	116	34.32	27.86
20092010	Brian Boucher	PHI	33	1326.1666666667	619	565	54	0.913	2.44	-4.38	48.25	147	114	33	0.776	1.49	-7.42	166	151	15	0.91	0.68	-2.05	285	279	6	0.979	0.27	2.11	39	61	35.91	18.96
20092010	Scott Clemmensen	FLA	23	954.8	526	480	46	0.913	2.89	-3.84	39.84	134	110	24	0.821	1.51	-0.68	154	137	17	0.89	1.07	-4.99	229	224	5	0.978	0.31	1.52	26	38	34.73	22.98
20092010	Chad Johnson	NYR	5	206.73333333333	104	95	9	0.913	2.61	-0.66	7.55	25	21	4	0.84	1.16	0.35	36	34	2	0.944	0.58	0.81	41	38	3	0.927	0.87	-1.83	5	8	32.35	21.44
20092010	Brent Johnson	PIT	23	806.5	406	370	36	0.911	2.68	-3.46	31.98	107	81	26	0.757	1.93	-7.38	126	122	4	0.968	0.3	5.83	163	157	6	0.963	0.45	-1.36	26	49	33.04	20
20092010	Mike Smith	T.B	42	1733	868	791	77	0.911	2.67	-7.42	67.37	239	189	50	0.791	1.73	-8.41	269	251	18	0.933	0.62	2.98	334	325	9	0.973	0.31	0.51	64	80	35.66	22.47
20092010	Steve Mason	CBJ	58	2450.3	1219	1111	108	0.911	2.64	-10.29	87.61	315	258	57	0.819	1.4	-2.19	297	260	37	0.875	0.91	-13.83	573	559	14	0.976	0.34	2.31	61	81	34.55	21.74
20092010	Patrick Lalime	BUF	16	615.98333333333	311	283	28	0.91	2.73	-3.07	24.29	75	57	18	0.76	1.75	-4.95	84	77	7	0.917	0.68	-0.45	140	138	2	0.986	0.19	1.99	22	24	38.3	25.32
20092010	Marc-Andre Fleury	PIT	67	2833.65	1294	1177	117	0.91	2.48	-13.28	105.52	359	294	65	0.819	1.38	-2.53	325	294	31	0.905	0.66	-5.65	566	545	21	0.963	0.44	-4.89	85	136	34.4	23.65
20092010	Ondrej Pavelec	ATL	42	1757.9666666667	1010	919	91	0.91	3.11	-10.04	80.37	304	249	55	0.819	1.88	-2.1	264	243	21	0.92	0.72	-0.41	416	403	13	0.969	0.44	-1.16	49	96	34	24.29
20092010	Andrew Raycroft	VAN	21	724.46666666667	326	296	30	0.908	2.48	-3.87	25.74	97	80	17	0.825	1.41	-0.12	90	81	9	0.9	0.75	-1.98	126	122	4	0.968	0.33	-0.41	20	28	33.36	20.7
20092010	Curtis McElhinney	ANA, CGY	20	783.2	381	346	35	0.908	2.68	-4.46	25.86	87	70	17	0.805	1.3	-1.86	99	91	8	0.919	0.61	-0.28	187	177	10	0.947	0.77	-4.68	21	23	33.5	21.66
20092010	Mathieu Garon	CBJ	35	1328.3	614	557	57	0.907	2.57	-7.78	47.37	157	121	36	0.771	1.63	-8.68	172	157	15	0.913	0.68	-1.58	266	260	6	0.977	0.27	1.57	24	51	34.51	18.82
